"","text","emotion","polarity"
"355","for the recordas covid cases and deaths continue to climb in the us the pandemic of misinformati…","fear","positive"
"356","my best friend ofyears since college hockey he was a damn good goalie just died of covid i hate this fu…","sadness","neutral"
"357","covid brazil hospitals run out of oxygen for virus patientssmartnews","fear","negative"
"358","coworker came in monday amp tuesday sounding like death amp coughing after pleas from others in the office he was fina…","joy","negative"
"359","documentary on oneyear anniversary of taiwans fight against covid","anger","negative"
"360","you can get your covid test any time betweenam andpm in the pac concourse on friday jan","joy","negative"
"361","sign this petition to presidentelect biden asking him to issue an executive order banning evictions and utility sh…","surprise","positive"
"362","and covid ignorance <U+270A><U+0001F3FE>","surprise","negative"
"363","thread brazil is ranked number two in the world lists of covid fatalities behind the usa but that is almost cert…","anger","positive"
"364","you know what i misscentro before covid<U+0001F61E>","surprise","positive"
"365","currently her role as sylvia llewelyn davies in finding neverland i am very much covid compromised…","joy","positive"
"366","covid","surprise","positive"
"367","some of these ppl that work in thesefast food restaurants won’t get paid for being out with covid smfh that’s stupid af","joy","negative"
"368","rsa conferencegoes all virtual due to covid","anger","positive"
"369","covid isn’t a hoax people are dying shut up kyle","fear","negative"
"370","do u know how strong u gotta be to be study taking exams online support your grandparentsw c bombvery un…","joy","positive"
"371","from your lips to gods earif all victims of foxs intentionally false covid coverage sue they will go out of business","anger","positive"
"372","governor abbott the covid vaccine but for guns","surprise","positive"
"373","prayers please i have been sick all year with pneumonia covid","fear","neutral"
"374","rep adriano espaillat diagnosed with covid after getting vaccine","surprise","positive"
"375","nasa keeps the stem lessons going from homeiste","surprise","positive"
"376","cspcontest

i thought one of the best smiles is when we thanked in a pandemic called covid i drew the woman…","fear","positive"
"377","yikesi just moved to ut from the bay area and the lack of masks is astonishingi’m wondering if pe…","fear","neutral"
"378","the ratio isnt nearly strong enough for this tweet but im here to do my part 
how about instead o…","fear","positive"
"379","avgdeaths covid per day once we have herd immunity we’ll everyone gets job back right back to gym back t…","fear","neutral"
"380","covidtwelvety","surprise","positive"
"381","due to covid protocols south carolina head coach frank martin will not be in attendance for lsus matchup satu…","fear","positive"
"382","took memonths to gain lbsthat is record breaking cause normally it would’ve taken meyearsso idk…","fear","positive"
"383","thousands of unnecessary deaths all for the purpose of perpetuating the covid hysteria through election day","fear","negative"
"384","clayton state indoor track and field season canceled over covid concerns","surprise","neutral"
"385","really what happened to k deathsday what happened to the nd wave what happened to q…","fear","positive"
"386","thats called the covid","surprise","positive"
"387","antivaccine doctor joined attack on capitol","anger","negative"
"388","the maddening red tape facing older people who want the vaccine in new york its utterly impossible","sadness","negative"
"389","gt incredibly relevant right now we mustn’t forget that those in hosp…","anger","positive"
"390","another case of not following science or statistics in handling this pandemic most of the lives lost are…","sadness","negative"
"391","covid claire<U+0001F631><U+0001F631><U+0001F631>","surprise","positive"
"392","<U+2066><U+2069> took mycovid shots tonight","surprise","positive"
"393","it says if covid is included on the death certificate can u not read","fear","negative"
"394","for the recordas covid cases and deaths continue to climb in the us the pandemic of misinform…","fear","positive"
"395","you said there’s unused vaccine appointments for healthcare workers i work on a covid unit and have…","joy","positive"
"396","year old fitness influencer dmitriy died from covid he thought that covid did not existthen he got sick…","joy","positive"
"397","coronavirus updates biden to give speech on pandemic as daily death toll again exceeds","fear","negative"
"398","i don’t wanna get covid tho so it’s a no from me","anger","negative"
"399","correct we’ve got them getting things back to zero several times and maintaining restrictions and ot…","fear","positive"
"400","if i dont get an achievement unlocked didnt get covid once this pandemic is over im calling xbox","fear","negative"
"401","covid vaccine stocks that could trounce pfizer and moderna instocks nvax pfe mrna bntx…","surprise","positive"
"402","alberta loosening covid gathering restrictions on mondaycovidab","surprise","positive"
"403","biden has made clear that borrowers need relief especially during covid","joy","positive"
"404","good news the us is doing better than most of its peer countries at getting shots in arms

bad news there are…","joy","positive"
"405","my neighbor got covid <U+0001F627>","surprise","positive"
"406","if you watch the mainstream media they will only tell you about covid deaths they wont tell you that as of jan…","anger","neutral"
"407","in an alternative universepresident hillary clinton is being brought into congress to answer for the less than …","disgust","negative"
"408","<U+0001F6A8>omafra has approved the allocation ofmillion in financial support to riding schools trail and therapeutic rid…","joy","positive"
"409","let me give u more then coloured hair best at beating covid most gl and bl produce then half of my fa…","fear","positive"
"410","trees can’t get covid omg lady watch apacolypse now later","fear","negative"
"411","politico biden’s heralded covid board has no idea what his plan is either","fear","positive"
"412","cz we don’t know what we are saying plus most pull this out oh president says this new thing is why can’t we cure…","surprise","positive"
"413","according to south carolina head coach frank martin assistant coach chuck martin and doug edwards who handles s…","fear","positive"
"414","information on covid vaccine eligibility and availability is available on our site","surprise","positive"
"415","everybody gets a covid coin from the gift shop","surprise","positive"
"416","the problem with that is people like me that have had cov…","fear","neutral"
"417","duhsantis needs to bring his sorry azz back to fl and figure out this clusterphuck h…","sadness","negative"
"418","agreed on being inured to mass death

my entire thing is

 we’ve already had k deaths w…","fear","negative"
"419","yes but i can finally know peace i’m lowkey judging every single texas reporter on the covid beat…","surprise","positive"
"420","i’m noti’m just telling u to chill with attack bcos u knew covid was out there but u were out jammin…","fear","negative"
"421","since yesterdayadditional children betweenenjoyed their first week in school by going to the hospital wi…","joy","positive"
"422","most pro life president ever but letpeople die from covidas a result of his attempted coup…","fear","positive"
"423","and not just because of covid i mean i’ve just become more anxious socially even if i’m with close friends i’ve known for years","joy","negative"
"424","yes nyc sue for your rights to catch covid 
eventually nobody will fucking be alive to even come out to eat but g…","anger","positive"
"425","and our percent positive covid rate is around","joy","positive"
"426","recovering from covid gives similar level of protection to vaccine","surprise","positive"
"427","exactly but i think this needs to be a change not only for “right now” but for good one covid silver…","fear","positive"
"428","i remember when i shared my experience and y’all said i was paid to say i had covid <U+0001F97A> anyways that’s not importa…","joy","positive"
"429","plan to discharge covid patients to care homes in england is madness","joy","negative"
"430","one man too much powermitch stifled america with his personal agenda which is why trump not impeached…","anger","positive"
"431","yes americans have been getting a check from the government due to covid and everyones making jokes ab…","fear","positive"
"432","daily reminder to maskup and wash your hands unitedagainstflu

this years flu season is virtually nonexistent…","anger","positive"
"433","pogp course updatecovid education zoom","surprise","positive"
"434","<U+262D>

the plan

keep on droppingto americans ostensibly for covid relief as a back door to establishing…","fear","positive"
"435","he really is i haven’t been able to meet him yet bc of covid restrictions but i can’t wait until i do","surprise","positive"
"436","this was tricky but i have to go with disney because of all the people that went “waaaah i cant…","surprise","negative"
"437","same tbh","surprise","positive"
"438","i have been trying since well before christmas to get help with a warranty issue lg dont care blame it on covid t…","joy","negative"
"439","nobody will want to hear this new warning from dr faucismartnews","anger","positive"
"440","alberta loosening covid gathering restrictions on mondaycovidab","surprise","positive"
"441","im extremely cautious regarding covid and…","fear","negative"
"442","china and covid the last dragon","fear","negative"
"443","it wont be for a while bc i am currently not working bc of covid and dont have much money but eventually","joy","positive"
"444","recall the hatred and bile of the left when trump got covidthe outpouring of hatred…","anger","negative"
"445","im more concerned we iowans have no idea how many doses of covid vaccine iowa has actually received <U+0001F914>

we als…","fear","negative"
"446","good jack needs to get rid of all the violent insurrectionary and covid disinformation peddlers","surprise","negative"
"447","“hey grandad what did you do during the covid pandemic” 

“i did what i could but it was tough one night i s…","fear","negative"
"448","biden lays outtrillion covid relief package withstimulus checks","joy","positive"
"449","your talking in riddles here and then you’ve rubbished your entire point by m…","sadness","positive"
"450","mayor mclean i wanted to thank you for all your efforts for covid containment and most re…","anger","positive"
"451","how is covid circulating if everything is shut down this is one reason so many employers doing minimal and halfhe…","fear","positive"
"452","for the recordas covid cases and deaths continue to climb in the us the pandemic of misinforma…","fear","positive"
"453","biden to unveiltrillion covid relief plan includingstimulus checks","fear","positive"
"454","governor scott ihave a question that concern me and others like me i amandmonths old with…","joy","negative"
"455","grey bruce health unit reportsactive covid cases","joy","positive"
"456","ian anytime someone posts a pic with their covid vaccine","fear","positive"
"457","new connect care bytes blog postingcovid and connect careaccessing public health act forms","joy","positive"
"458","the news that los angeles county lost a person from covid every six minutes would be almost one third of the nation…","fear","negative"
"459","me too and we are seeing as many concerts possible covid is not invited she’s so clingy <U+0001F614>","surprise","positive"
"460","visa covid payment habits may be here to stay","anger","positive"
"461","covid","surprise","positive"
"462","governor what are your thoughts on this frederick sheriff proudly proclaiming hes not following…","joy","negative"
"463","hospitalised patients with covid have compromised gut microbiomes study finds","disgust","positive"
"464","someone needs to take that gavel away from nancy she would have never been reelected as speaker b…","surprise","positive"
"465","i saw that article earlier this week i think it wasinpeople who get tested have covid regardless thats still crazy","joy","negative"
"466","if you have seen any therapists or counselors precovid check in with them its possible tha…","fear","positive"
"467","rd of la county had covid","surprise","positive"
"468","well at least they came around to reality that’s so good it’s not about politics anymore…","joy","neutral"
"469","arrested clubber tests positive to covid in police cell","fear","positive"
"470","at this point should we be looking for a vaccine for covid or for political pandering seems covid i…","sadness","positive"
"471","yeah the pandemic numbers make feel weird like are we averaging close todeaths daily from covid…","fear","negative"
"472","learn how the openaccess nature of lexagenes miqlab system is designed to be rapidly configured to detect new…","joy","positive"
"473","i think if india manage to win or retain the gavaskarborder trophy this series it should be celebrated more than t…","joy","positive"
"474","communism cures covid you didn’t know","anger","positive"
"475","let’s absolutely turn to the science to protect ourselves from this train of covid in the us my dearest sym…","joy","positive"
"476","between purposely ignoring covid and fomenting sedition its probably best to avoid republicans for your own safety","fear","neutral"
"477","total daily cases of covid in scotland as ofjanuarydata compiled by…","surprise","negative"
"478","florida’s gas price rose toa gallon upcents from a month ago","joy","neutral"
"479","allotments for this shipment of covid vaccine to aph has been filled we encour…","disgust","positive"
"480","au contrairehes deleting all his old covid nonsense right nowand st…","anger","negative"
"481","covid is aboutdeaths away from surpassing world war ’s casualties and we’ll hit that next week at the rat…","anger","neutral"
"482","takeaway avoid going into stores as much as possible <U+2705> and buy better masks todo

i know some of yall still…","fear","positive"
"483","because all it takes is one person to pass along covid wear your damn mask you have…","fear","negative"
"484","mind charity urge the government to act invest in community services and provide covid safe facetoface mental he…","joy","positive"
"485","the fact that my school wont let me have a teacher do i can learn if i want to stay doing online school is baffling…","anger","positive"
"486","you know that covid stuff is bullshit rightold kook in crocodile dundee inspired leather hat vest and socks…","fear","negative"
"487","thanks “fl man recovers from covid”","joy","positive"
"488","latest ny times newsletter brings up a lot of great points that has nothin…","joy","positive"
"489","instead of covid tests why dont they bring the covid vaccine vacc…","fear","positive"
"490","pssst does anyone out here want a quick covid jab","anger","neutral"
"491","pcsos issued three covid fines tonight due to having reports of people visiting an address who should not have…","anger","positive"
"492","the man opened floridia full steam ahead and no covid precautions for the statecan…","joy","positive"
"493","well my family is in okc and it’s open with no mask mandates and my brother and sister both got co…","joy","positive"
"494","i dont believe the experts anymore they are contradicting each other on a daily basis earlier a nhs paramedic…","fear","positive"
"495","brilliant idea lauren onlyamericans currently die of covid every single hour of the day so who…","fear","positive"
"496","mlk day back home in small town souf florida be so lit but covid ol nasty ahh f’d it up<U+0001F612> i just wanted to get dressed and walk thru<U+0001F485><U+0001F3FE>","sadness","negative"
"497","if you are looking for rapid rna covid test you can now book at 

first time in canada get…","anger","positive"
"498","japan is an island nation population twice the size of uk with…","joy","negative"
"499","army’s covid vaccine may hold key to beating coronavirus mutations","fear","positive"
"500","you are peddling dangerous misinformation and you need to stop this covid thing is serious","fear","negative"
"501","that’s absolutely not my point pre existing medical condition or not my understanding is they are at si…","sadness","positive"
"502","some irish professor going viral about the vaccine killing people won’t help some info to counter…","fear","positive"
"503","faced with complaints about florida’s maddening system for distributing covidvaccines florida surgeon general dr…","anger","negative"
"504","presidentelect joe biden has a great covid relief plan","joy","positive"
"505","covid daystill in hospital day of antibiotics steroids amp slowly improving stats ive avoided icu as do…","disgust","neutral"
"506","covid is a whole other can of worms 

while we need national s…","sadness","negative"
"507","no better time than now to tackle your first open source contribution ajuste no mobile","anger","positive"
"508","januarycovid test results record day deaths","surprise","positive"
"509","reasons to start a business online given the changed reality that most of the globe has been facing over the rec…","fear","positive"
"510","alberta eases some covid restrictions","surprise","positive"
"511","we are approaching the time when the peer reviewed and more meticulously done sarscovcovid research is emerging…","anger","positive"
"512","starting the th you’ll need a negative covid test to come back into the us","sadness","negative"
"513","baltimore city schools expand inperson learning options starting febcbs baltimore","surprise","positive"
"514","sir heath problems r in yr region ndp territory is big issue edm most covid cases mst in icuor…","fear","negative"
"515","alberta eases some covid restrictions","surprise","positive"
"516","taking a covid test at home is weird because most of it is just sitting on a zoom call alone holding a tube of your own spit","disgust","negative"
"517","active covid cases in bc fall to lowest total in almostweeks","sadness","negative"
"518","the week exclusive chinese virologist dr limeng yan says covid viru<U+6765><U+81EA>","joy","positive"
"519","just in preselect biden is expected to detail his t relief package in a primetime address thursday—which wil…","joy","positive"
"520","optimal occupancy for a hospital isonly aboutof the active cases a…","fear","positive"
"521","are you serious my mother had covid and it got really scary how could you say that and encourage people not to very wrong","fear","negative"
"522","biden will make his case formore direct cash to americans an extension of and increase to supplemental empl…","anger","neutral"
"523","days after contracting covid on placement my lateral test has come back as positive please be aware that the…","joy","positive"
"524","ahead of every other european nation in the covid death toll too well done","fear","negative"
"525","pandemic tech to help battle covid at cescnettechnie womenintech tech","fear","neutral"
"526","brazil manaus in the heart of the amazon forest is a mess covid patients are dying suffocated in hospitals w…","disgust","negative"
"527","providers throughout the world have now seen many cases of covid and know much more about how it affects pregn…","joy","positive"
"528","nobody minimising anything people dying of covid and lockdown is ruinin…","anger","negative"
"529","fabinho and keita didn’t start playing for us until atleast half way through the season whe…","fear","negative"
"530","retweeting someone elses tweets like this is just plain silly what do you mean by covid sceptics i…","joy","neutral"
"531","one person dying everyminutes from covidtrump lied that this pandemic was a “democrat hoax”now we have…","fear","negative"
"532","schools college should remain closed because covid is on full rise and we cant risk our lives
closeschoolsnow…","fear","negative"
"533","dr tam supports vaccine dosage delay pfizer statement 
<U+274C>”safetyefficacy has not been evaluated on…","anger","negative"
"534","…","surprise","positive"
"535","opinion why we’re not doing better on covid vaccines","anger","neutral"
"536","finally some numbers behind my concern how many excess deaths have occurred because of lack of resources related t…","joy","negative"
"537","for everyone 

unreported truths about covid and lockdowns partintroduction and death counts and estimates","anger","negative"
"538","no no nohitler was completely on top of covidhe realized early on that having…","surprise","positive"
"539","taiwan’s handling is pure luck and a joke china banned group tour to taiwan a few months ahead of c…","joy","positive"
"540","the only time you cover children is when they’ve been affected by trump schools are reopening during t…","anger","positive"
"541","so much love and respect for these brave folks these are the kind of risktakers we need the ecological emergency…","joy","positive"
"542","mil new covid cases and k deaths since january st and were supposed to go back to “normal” this year i just…","sadness","neutral"
"543","the first death from covid in china for eight months today source sky news apparently they say the virus there i…","joy","negative"
"544","however nsw health currently recommends delaying nonessential travel within nsw especially between gre…","joy","positive"
"545","niggas out here being safe and still gettin covid<U+0001F644><U+0001F644><U+0001F644><U+0001F644> is mei’m niggas","joy","positive"
"546","covid","surprise","positive"
"547","this covid vaccine art has some nft potential","fear","positive"
"548","my argument is lockdowns are not effective…","anger","negative"
"549","mycolumn on why thesitcom mrmayor isnt all that funnynot a lot of comedy to be mined in…","surprise","negative"
"550","help slow the spread of covid and identify at risk cases sooner by selfreporting your symptoms daily even if y…","fear","negative"
"551","i’m with you renee seeing how everybody lives is one…","surprise","positive"
"552","i thought “running covid patients on the dry side” had been abandoned soon af…","anger","negative"
"553","its pretty ins…","joy","positive"
"554","designated transportation for covidpositive people","surprise","positive"
"555","shout out to board member dr chandra varia

thank you for sharing you chose to take the covid vaccination

she s…","anger","positive"
"556","yesterday i posted the video of this woman who was shaking uncontrollability after taking moderna vaccine
it wen…","fear","positive"
"557","like covid surge didnt do it for la so now they are trying extreme covid surge i feel like you can say extr…","surprise","neutral"
"558","shrinking economy due to covid amp tensions with tr amp rapidly aging population it is a economical su…","anger","positive"
"559","covid has created momentum for expanding telemedicine and scopes of practice in arkansas arkleg legislators sa…","joy","positive"
"560","parents who have kids doing school from home has covid killed common core math yet <U+0001F91E><U+0001F3FB> commoncore homeschooling","anger","positive"
"561","the coronavirus is erasing minority women from the workforce","surprise","positive"
"562","selfemployed dont get wages i should know i am one and i have had zero covid financial support…","fear","neutral"
"563","because was many tombs
so
these aborts of i call you
need covid in the ass
no disco
what disco pls
o…","disgust","negative"
"564","fordays i will post a picture from a day in the life of an educator prior to covid i will post without explana…","joy","positive"
"565","alberta covid deaths by ages
 years no deaths
 years five deaths
 years seven deaths
…","surprise","positive"
"566","thx brian for a great thread i hope some reporters pick up on it avi nath at nih told me recently…","joy","neutral"
"567","is it safe to eat chickenwings yet","fear","positive"
"568","yeah i got it only cuz i was doing uber amp lyft and passing by it literally ever day that i was driv…","disgust","positive"
"569","bruh everybody but likepeople on the heat in covid protocol","anger","negative"
"570","what theyoure the sweetest i hope we can hang out when covid ends i miss you thank you so much beautiful <U+0001F496>","joy","positive"
"571","i really don’t get it when people say alhamdulillah or padan muka to those who’re infected by covid it’s someth…","joy","negative"
"572","plan for the biden clan
<U+0001F30D><U+0001F476><U+0001F467><U+0001F9D4><U+0001F3FD><U+0001F468><U+200D><U+0001F9B0><U+0001F469><U+0001F3FC><U+200D><U+0001F9B2><U+0001F469><U+0001F3FD><U+0001F468><U+0001F3FF><U+200D><U+0001F393><U+0001F468><U+200D><U+0001F373><U+0001F468><U+0001F3FD><U+200D><U+0001F527><U+0001F9D5><U+0001F575><U+0001F3FD><U+200D><U+2642><U+FE0F>
<U+0001F321>vaccines 
<U+0001F6D1>tax credit increase
<U+0001F5FD>more stimulus to lowall…","fear","positive"
"573","you know whats a bigger hoax than covidcovid vaccine
people being told w th vaccine they could see their fa…","anger","neutral"
"574","a wall street journal analysis finds the covid death toll is being seriously undercounted

the us had more th…","anger","negative"
"575","don’t forget what else trump has donereignited decades old racial tensions screwed up covid resp…","anger","neutral"
"576","ministerandthere may be some people who want some clarity on covid vaccine distribu…","fear","positive"
"577","when u just spent a ton of time filling out the addendum form on how covid has affected ur worklife for ur faculty…","anger","neutral"
"578","we’ve locked down x and people are still being denied critical care not good enough…","joy","neutral"
"579","so have you had covid or anything besides covid this year if the answer is no which i…","joy","positive"
"580","which is dangerous of course but my risk of severe complications or death from covid seem to be estimated atin…","fear","negative"
"581","<U+0001F534>portuguese health workerdies two days after getting pfizer jab","anger","negative"
"582","wants to open barsrestaurants we say no if you do covid rates will go up and ctu will use it…","anger","positive"
"583","so black beetle juice wants to open the bars and restaurants asap

trump cured covid by leaving office confirmed","anger","neutral"
"584","it is sad to see the decision particularly knowing birds are not known to be carriers of sarscovid","sadness","negative"
"585","the extra deaths in victoria were falsely classifieddiagnosed as covid to justify the extended loc…","fear","neutral"
"586","listen jim lofgren talks about a plan presented to the sac county board of supervisors that would provide new fina…","fear","positive"
"587","i feel like my voice is getting deeper like i don’t sound the same ever since my birthday not sick not covid just getting old <U+0001F974>","fear","positive"
"588","had some practice for my covid vaccine yesterday flu shot plus tetanus shot my arms are sore","fear","neutral"
"589","hopefully they will extend business rates holiday too
i am extremely concerned about this time next y…","anger","negative"
"590","there are at least four bills in the legislature aimed at limiting the governors emergency powers however little…","fear","negative"
"591","covid in the office the zombie dragon has melted the ice wall the north is overrun","fear","negative"
"592","in final transition days biden team gets access to critical covid vaccine data","joy","negative"
"593","after using the excuse of covid to wreck the economy there will be no such thing as retirement 

or savings

o…","sadness","negative"
"594","footballers criticised as brainless for hugging in goal celebrations amid covidthats always the trouble with g…","joy","negative"
"595","data from the state this week showed some counties in our area have usedpercent or less of their allocated firs…","disgust","neutral"
"596","rice purity test but you check off all the things you did that were not covid safe","fear","positive"
"597","a thanksgiving tweet below from andy slavitt who biden just appointed to his covid team…","joy","positive"
"598","phe said although those with antibodies are unlikely to become ill again with covid early evidence from the nex…","fear","negative"
"599","here is my imitial reponse
 rally size does not equal prop…","joy","positive"
"600","hey covid go with your daddy next week he leaves noon on wednesday
so long","joy","negative"
"601","arrested clubber tests positive to covid in police cell","joy","positive"
"602","when are you going to get your employees on the vaccination list should be a priority since they g…","sadness","negative"
"603","will covid lead to mecfs if a wave of new cases that doubles the number of americans with mecfs is about to…","anger","positive"
"604","reading between the lines a little bit is this the second time rickys had covid","fear","negative"
"605","he is accountable for his choiceshe must pay his debt to society deutsche amp putin

covid deaths amp…","disgust","negative"
"606","why don’t you take the keys and lock up your towninhave covid and you’re complaining about everywhere else","fear","negative"
"607","my uncle died from covid

he retired from the post officeyears ago his mother lived to beand his father…","sadness","positive"
"608","this is really disgusting amp unacceptable get him back to his family temporarily get him vaccinated bbc…","sadness","negative"
"609","dr bonnie henry announced thursday that health officials are investigating how the person in bc contracted the v…","joy","positive"
"610","i have no interest in covid related memorabilia but i do like these two a lot","joy","positive"
"611","‘to get started on the finish line’ yearold has been waiting for opportunity to get covid vaccine","fear","neutral"
"612","its fantastic that thai police now finding illegal gambling dens everywhere in thailand <U+0001F440> and yet only a few wee…","fear","neutral"
"613","bidenstrillion covid relief plan calls for stimulus checks unemployment support and more","joy","positive"
"614","covid or not i would be spending founders day in the house","joy","positive"
"615","uk covid update more thandeaths for rd day in a row

 new cases 
 in hospital
 in…","anger","positive"
"616","wow bidens covid plan costs onlydang i didnt know i could end covid usin barelybucks","anger","positive"
"617","that kind of thinking is very ignorant why should they not cry bec…","disgust","negative"
"618","ive been blessed to have survivedhealthy but ive had my heart broken hearing about friends t…","joy","neutral"
"619","im hungry and cant afford my rent or electric services covid is killing me slowly painfully will i live another day","sadness","negative"
"620","data normalization is important i madecharts with the same data different takeaways a surprising find some l…","surprise","positive"
"621","yea signing autographs while the game is still playing several covid inf…","joy","negative"
"622","covid brazil hospitals run out of oxygen for virus patientsbbc news","joy","negative"
"623","everytime someone get covid y’all say covid is real like we haven’t been in a damn pandemic since last march","sadness","negative"
"624","you also seem to be implying that the covid death toll in the us would be significantly…","anger","negative"
"625","having my nd covid jab next week","anger","negative"
"626","when i had covid i lost my taste and smell so i stopped eating and i lost so much weight i hate it","joy","negative"
"627","really frighteningup fromyesterdaythe day before covid cases in glasgow 
covid","surprise","positive"
"628","if you look at my tweetsi’m not worried about covid or “lockdowns” or freedoms and neither do i me…","fear","negative"
"629","yup example","surprise","positive"
"630","although peopleand older are now eligible to register to receive covid vaccinations contra costa health ser…","disgust","neutral"
"631","news cancer screening tests cancer diagnoses during covid pandemic","fear","negative"
"632","woman suffers whole body convulsions after taking experimental moderna covid vaccine","surprise","positive"
"633","teachers could start being vaccinated for covid as early as late feb but most will likely get their first dose…","anger","neutral"
"634","forbes article
made from monkey dna
<U+FFFC>
<U+FFFC>

the astrazenecaoxford vaccine is a chimpanzee adenovirusvectored…","joy","positive"
"635","want to see some hoops get your free covid test and drop the positivity rate 
testing here","joy","neutral"
"636","gotta stop taking my mask off when im doing the dishes before i catch this covid <U+0001F926><U+0001F3FE><U+200D><U+2642><U+FE0F>","fear","positive"
"637","woman suffers whole body convulsions after taking experimental moderna covid vaccine","surprise","positive"
"638","just checking my local covid dashboarddied km radius of my front door today <U+0001F62C>","surprise","positive"
"639","yesthere’s an hisd covid dashboard that counts cases of student and staffthey still keep addin…","joy","positive"
"640","educators in abq tell me theyre hopeful the covid vaccine will aid school reopen plans in newmexico and that…","anger","positive"
"641","biden lays outtrillion covid relief package withstimulus checks","joy","positive"
"642","i tried to initially give trump the benefit of the doubt when he first went into office i really did…","joy","neutral"
"643","more pregnant women are being treated for covid in intensive care in current waveinews","anger","positive"
"644","the corporate elite are pushing ahead with smart cities technofascist prisons in the face of the global covid…","joy","positive"
"645","as the covid pandemic continues its important to practice selfcare s covid coach app provides…","sadness","positive"
"646","covid vaccination delays cost liveseditorial","surprise","positive"
"647","the real story on the vaccine rollout is more complicated than youve heardhuffpostvia…","surprise","neutral"
"648","i had a cold for likedays and my body temp dipped to f but like it obviously wasnt covid and i have no idea how i got it","sadness","negative"
"649","ok we get itthe covid vaccine is an injection in the armwe don’t need to seedifferent views on every broadcast","fear","negative"
"650","just in there is a sudden new rule requiring people traveling to gitmo to come with a negative results covid te…","surprise","neutral"
"651","questions about the covid vaccines join senior pastor bryan carter concord church today thursday january …","joy","positive"
"652","what’s the science behind this higher likelihood of getting covid betweenpm andam","surprise","positive"
"653","hey that’s great but overpeople a day are dying from covid what good does this do…","joy","neutral"
"654","leverage to get all progressive policies passed ma retroactivecovid relief and gnd most importantly","joy","positive"
"655","disneyland is officially getting rid of their annual passes due to covid","anger","negative"
"656","rear window but during covid and its me looking out the sliding glass door of my townhouse into the alley where se…","surprise","positive"
"657","i really should be packing and figuring out how im gonna get to new york but the possibility i’ll test positive…","surprise","negative"
"658","had to laugh at the called it comments because the pope got the cov…","disgust","negative"
"659","new york wont tax forgivable ppp loans decides to comply with federal tax regulation that was adopt…","anger","negative"
"660","this probably should not come as any great surprise coviduk
covid","joy","positive"
"661","drafted to the lions
 injuries
 covid year","joy","positive"
"662","and just like thatthe election is over and covid disappears<U+0001F57A><U+0001F602><U+0001F602><U+0001F602>","joy","neutral"
"663","what if covid took away your smell taste and you can’t see or hear fordays straight","disgust","neutral"
"664","im canadian where i live the maritimes has all but eradicated covid my province last had…","fear","negative"
"665","heres the regional covid breakdown from ab health for today jan
total activedown from 
ca…","disgust","negative"
"666","i know what the covid is where it comes from i won a nobel peace prize for helping to determine it in mar…","joy","positive"
"667","according to the cdc website the usa is atmillion vaccinated with the first dose

we have a ways to go but i…","anger","positive"
"668","gotta pay for an app wait in line hoping the animal you wanted ain’t gone by the time you get appro…","sadness","negative"
"669","residents and healthcare workers are concerned about covid surge in florida and sta…","fear","neutral"
"670","saw this article and thought of you","anger","positive"
"671","humanity is mind blowing mixed with covid","joy","neutral"
"672","both my grandparents have covid and my grandpa is in the hospital <U+0001F62C><U+0001F62C><U+0001F62C>","fear","positive"
"673","yeah people and places and stuff and unwanted hugging and touchingand sneezing without having to expla…","surprise","negative"
"674","twdeathshooting 

white male mass shooters have not gotten the death penalty but black men who suffer from i…","sadness","negative"
"675","this illness is simply not that severe for the vast majority of the population this doctor should nev…","fear","negative"
"676","nassau county is committed to an equitable distribution of the covid vaccine

the county is working closely wit…","surprise","positive"
"677","how can you waste time in trivialities such as impeaching a president who is practical…","anger","negative"
"678","on the latest edition of theshow reactions to s recent postponements due to covid a…","anger","positive"
"679","the gop response see we told you sosocialism and deficits

joe biden just released histrillion covid re…","surprise","positive"
"680","despite covid cases rising more colleges plan to reopen in the spring","anger","negative"
"681","we survived covid for this

lets fucking go","surprise","positive"
"682","i agree keep getting e mails from my condo association were now up topeople testing positive…","surprise","positive"
"683","tonightpm pstmalcontentment happy hour

 black coffee nw target of racism
 behind the pole with…","joy","negative"
"684","you truly don’t know what you’re talking about he had aapproval rating before c…","anger","positive"
"685","another covid crisis coming","fear","negative"
"686","heyloved the piece tonight on business pivotsplease talk to my best covid restructuring of a smal…","anger","positive"
"687","i wonder how covid is spreading in mainly muslim countries compared to non muslims ones like i wonder if the niq…","surprise","positive"
"688","“this could be the next public health disaster in florida” said aron banks whose doralbased company cardiopath s…","fear","negative"
"689","onnews atgovjoinsin studio to discuss covid mitigation and vaccine distribu…","surprise","positive"
"690","i have to take time off work unpaid because my husband is extremely clinically vulnerable ive had…","joy","neutral"
"691","covid uks largest temporary morgue set to open with high deaths to continue for some weeksuk newssky n…","fear","positive"
"692","there are nowalbertans in hospital with covidof which are in icu anddeaths

the province com…","fear","positive"
"693","covid its real my nigerian brothers and sisters pls protect yourself use mask practice social distance take…","joy","positive"
"694","an inaguration closed to the public
covid killedtoday alone
vaccine distribution is worst in…","fear","negative"
"695","the headline makes it seem as though all k deaths are as a result of covid if you read it passively","joy","positive"
"696","for the recordas covid cases and deaths continue to climb in the us the pandemic of misin…","fear","positive"
"697","im all for that so long as scientific evidence supports these claims and teachers instructors and…","surprise","negative"
"698","today we announced provincewide changes to restrictions around personal services and capacity limits on outdoor s…","joy","positive"
