"","x"
"244","Tax the Rich dammit! : Progressives are pushing for progressive tax increases to address COVID-19-related funding g… https://t.co/fpOi9kt69m"
"245","@JayNance14 How are the Covid symptoms today?"
"246","@AlliemalCNN @Acosta If he wasn’t party to the fraud those soldiers would be home safe with their families. I pray… https://t.co/k6AWE1xEmq"
"247","@VeronicaRochaLA   For The Record - As COVID-19 cases and deaths continue to climb in the U.S., the PANDEMIC OF MIS… https://t.co/8jCmKD5pwL"
"248","Imagine that, an actual fucking plan.
https://t.co/XGw3lvnDcp"
"249","Entering Phase 4. Update: Pfizer has been approved by Philippine FDA as of 1/14/2021. Kindly read this link<U+0001F447><U+0001F3FB>… https://t.co/V61P4RmMpl"
"250","Here are some great resources re: #Covid19 from the #Maricopa #DemocraticParty of #Arizona!  https://t.co/OmhbG7Z3DF https://t.co/Bm2SmHBgML"
"251","NH People 65 and Older Can Register for COVID-19 Vaccine Next Week https://t.co/iiC1bEO6lV via @nancywestnews"
"252","ICYMI: #VFL Shazzon Bradley joined @JWilkersonWNML and @JimmyHyams on SportsTalk to talk about his battle with COVI… https://t.co/92FXBtGRzt"
"253","@cbschicago This won’t help anything but anything to push for covid numbers to go up so you can feel in control; to… https://t.co/Rf74P7IlCc"
"254","Every person should get $1000 a month. Not because of covid, just because it's a good system that helps people and… https://t.co/m3EJBvrcm6"
"255","@LianosKostas A little surprised by the move now as clubs probably will spend more this summer assuming covid is un… https://t.co/XIzh3p5EZt"
"256","After seeing his meeting with civil rights leaders, not surprised, and seems that Joe Biden will make minorities an… https://t.co/z1pgMTNJuV"
"257","I wonder what Arthur B. Sleigh would think of his newspaper 166 years on?

https://t.co/w9rX93j4Pn"
"258","Fuck cancer, Fuck COVID and Fuck The Government <U+203C><U+FE0F>"
"259","@levelsio I blame COVID brain for the falling joke. I just didn't want to share a screenshot of my tax &amp; bank info  <U+0001F602>"
"260","YOU MUST READ  THIS ! 
Doctor’s Death After Covid Vaccine Is Being Investigated https://t.co/1O75grlVNq"
"261","Latino, Black children twice as likely to endure multiple Covid-related hardships https://t.co/xiFc3vw1Uw"
"262","Walmart temporarily closes a store in Long Beach for COVID-19 sanitizing https://t.co/MFLgu5RmT8"
"263","COVID-19 measures also suppress flu—for now https://t.co/P8zx0t4OTq"
"264","@DonutKingK Side note I just read a really interesting article about using the covid vaccines mRNA technology for c… https://t.co/Pt6s66q31h"
"265","My intrusive thought of the day is someone with covid spit in my food"
"266","Jokes on you guys, I’ve seen my mom giving herself the COVID vaccine multiple times as a child."
"267","and they’re removing the use of an anesthetic when it’s argued covid could make the injection even more painful the… https://t.co/Pci7yyXsNP"
"268","Sorry for no Dbd this afternoon. My mother &amp; step father were rushed to the hospital with covid 19.  Both placed in… https://t.co/Ls5tctxmSY"
"269","71.4% of total cases have fully recovered and 2.1% of total cases have died. The rest of the reported cases are sti… https://t.co/IhdqJ9yMzL"
"270","""The underlying dynamics that made the abnormality of college football during a global health crisis possible were… https://t.co/aiMOTIENSQ"
"271","Staff member was contacted to self isolate after visiting Woolies #covid they tracked him down via his Woolies rewards card"
"272","@uTony_ Unfortunately the situation in America is completely different to Australia covid wise. 
It is what it is,… https://t.co/bOhQnRmn1S"
"273","<U+0001F633><U+0001F30E>Texas trauma surgeon says ‘post-COVID lungs look worse than any type of ... https://t.co/EADIUxSKb3 via @YouTube"
"274","Hardly anyone is using the Covid Tracer app. Something needs to change! Do your duty people...
https://t.co/hjh9quZdtj"
"275","Read article, got to bottom, copy/send URL and it’s a different article’s link.
If you scroll slowly you’ll see url… https://t.co/ZIIxU9jnle"
"276","They Can’t Leave the Bay Area Fast Enough - The New York Times https://t.co/Fl8iJ6I99z"
"277","@AB_MD_WarRoom Covid cares about your reservation!"
"278","@GarySlegg @AdoClarkson @MichaelYeadon3 The ONS figures on deaths/wk, show excess deaths about 300/day above the 5… https://t.co/VmfknyMMaC"
"279","My only living grandmother got the COVID vaccine today!"
"280","@OHAOregon Oregon daily Covid cases at start of 2 week pause:
11/11-861

Oregon daily Covid cases after 2 week paus… https://t.co/fkdD2wH22U"
"281","SANDRA + CHRIS: How was the first day of lockdown for you? 
Pour yourself a bottle of wine and enjoy this COVID Slo… https://t.co/MVVxK0gBaz"
"282","@GladysB @Matt_KeanMP Snuck through at peak of Covid-19 first wave... https://t.co/UxX03B9VgB"
"283","@PimlicoPlumbers @emmakennytv Sorry. Your vaccine is poison. It’s going to kill more people than covid. I wouldn’t take it EVER."
"284","Like a true Georgian when the body aches and chills from my second covid vaccine set in I took a Goody powder. Cond… https://t.co/txtPJAUTDT"
"285","@SouthwestAir A tornado blew our house away in 2019. In 2020 I have been working 12-16 hour days to develop treatme… https://t.co/Su0EJk5Q0L"
"286","Daily Telegraph rebuked over Toby Young's Covid column https://t.co/fQS9juA1Mp"
"287","Have heard of five different instances of people being potentially exposed to covid in the last 24 hours, including… https://t.co/3j5PGIGFhC"
"288","Biden lays out $1.9 trillion Covid relief package with $1,400 stimulus checks  https://t.co/0HwgQV94N9"
"289","@HotepJesus Chicago and New York miraculously not caring about Covid anymore and coincidentally wanting to open back up now"
"290","@TalbertSwan Covid is still alive and well  just let him go on. I would have laid his ass out tho!"
"291","@CDCofBC Seven residents in Quebec got Covid 28 days after first vaccine dose. Guess first dose not 92% effective.
https://t.co/AUx4n8HhXY"
"292","1,248 people died yesterday from COVID-19 in the UK.<U+0001F494> https://t.co/p7YcQZO2XP"
"293","@RStopman 23 according to this https://t.co/3o084v1kD2"
"294","The number of people actively battling COVID-19 in B.C. fell for the fifth consecutive day, to the lowest total sin… https://t.co/4TDQiToouN"
"295","Roy died back in May of COVID-19.
RIP

https://t.co/YvVKQMZ6Wm"
"296","The only way Russia is not winning the team event in skating if all there skaters have covid which is totally possible"
"297","Alberta eases some COVID-19 restrictions https://t.co/t5p0HVIUQi"
"298","New Research: Characteristics of COVID-19 Patients Based on the Results of Nucleic Acid and Specific Antibodies and… https://t.co/SkhBohPpIG"
"299","""Missing my flight because a Covid clinic ghosted me - Is there anything I can do?"" is a new top post on /r/LegalAd… https://t.co/fLepaQB0n2"
"300","@TarkabarkaHolgy My husband and son have always been amazed at how easy it is to go on vacation. In a way, it was m… https://t.co/dKpAps95jT"
"301","Apparently, the shooting doesn’t really start when the looting starts. tRump and his aides are looting the White Ho… https://t.co/GtDwVfdru5"
"302","@Arightside   For The Record - As COVID-19 cases and deaths continue to climb in the U.S., the PANDEMIC OF MISINFOR… https://t.co/ztFRKrDGQk"
"303","@SteveBakerHW @BorisJohnson Not a vaccine ... it’s an experimental therapy... all candidates monitored until trial… https://t.co/kD0PmCuBqm"
"304","Regulator refuses to approve mass daily Covid testing at English schools https://t.co/H3yJzHQtvD"
"305","Post-COVID lungs worse than the worst smokers' lungs, surgeon says

https://t.co/9tTFfE206o"
"306","Ontario declares emergency amid surging COVID-19 cases as Canada buys more vaccines https://t.co/8ceWnlXkSZ"
"307","@jaketapper Very good documentary on ""possible"" China CoVid cover-up made by the BBC.

Satellite images around Wuha… https://t.co/wy0HkeGHYk"
"308","@PatrickSvitek Oh brother. Our covid cases are through the roof, no one isn’t trying to “take your guns.”  Abbot is the worst."
"309","Yay, today I had my first 1 out of two COVID-19 Vaccines. I’ve never been so happy to have a shot!"
"310","@COVID_Australia Will let this one slide <U+0001F61C>"
"311","@paulgur @TrumanKelly If you did there would be no chance of a trampoline. Didn't you know, they are more dangerous than Covid."
"312","We gotta get smarter about labels folks.

Masking pneumonia reality of the novel coronavirus? Allowed for hostile t… https://t.co/MiaelQ1JRU"
"313","@Brianryan2023 @CNN He doesn’t have to give endless . He is giving what USA hasn’t ! See the other countries covid… https://t.co/FE7jnZzvIg"
"314","@orlandous_ @GottiDeez_ you can catch covid anywhere and still that’s no excuse to not stay home"
"315","@donwinslow These traitors also considered covid a hoax. Wonder how they feel about it now that prison (a hot spot for Covid) looms."
"316","Money should be no issue for government to procure Covid-19 vaccines, experts say https://t.co/hp76mcgsKK via @kathmandupost"
"317","@CTVVancouver How? When did @GovCanHealth AND the @CDCofBC develop &amp; approve a new test to incorporate the new stra… https://t.co/815znbD15x"
"318","""did something bad happen today?"" - Well my buddy got Covid, but besides that, no #tellonym https://t.co/MuEv0IrYlw"
"319","Like watching paint dry. But at least the process is unfolding. 
https://t.co/vZfUOtP16M https://t.co/GfXoLSLT6p"
"320","5 years after covid is gone and I’m still gonna be like “sorry, can’t go to your party I’m social distancing”"
"321","@amcgb In 2009 I dropped 60+ lbs via @2020lifestyles. Big thing I learned there was how to eat well and in moderati… https://t.co/T9zFrF2Ot7"
"322","2M+ lives lost globally to COVID-19. Terrible. #COVID19 #Coronavirus https://t.co/nE4WlO86by"
"323","@lady_pistons For sure. I went through this with my grandfather as well last year, but because COVID kept me apart… https://t.co/en54kC6k3H"
"324","@DWUhlfelderLaw Yes, all while he's  snow-balling Floridians that he's working sooo hard at dispensing Covid 19 vac… https://t.co/Jaxs1QUQOj"
"325","@drajm Won't the AZ significantly reduce viral load therefore lead to far less transmission? Do you think a zero co… https://t.co/TDZhWuUjma"
"326","Can employers require employees to get the COVID-19 vaccine? Can an employee refuse to return to work if his or her… https://t.co/dWAR0usO1O"
"327","With the current climate, Trumpism has consumed all the excitement for 81 Million who did not vote for him and aren… https://t.co/rJqAsErnaM"
"328","Professional and front line workers are the right people to put the world to rights regarding Covid. Just listen to… https://t.co/d3yS2q0Ts2"
"329","Keep in mind once you pre-register for the COVID-19 vaccine with APH, the site might show that there are no vaccine… https://t.co/0YoXIvr6rG"
"330","@1227Cheryl @laurenboebert I can’t believe I have to say this but those 386,000 deaths are just Covid deaths. They… https://t.co/J4ePw4by5o"
"331","Trumps partner in allowing COVID to run wild. https://t.co/WKfn2CynMB"
"332","read comments?

They Can’t Leave the Bay Area Fast Enough https://t.co/5PGV23r3Rb"
"333","Wondering what the #bamlanivimab buzz is all about? The @US_FDA recently authorized this new drug treatment for eme… https://t.co/z1SsKvi4xa"
"334","@_summerof09 DON'T TOUCH YOUR FACE. covid it's out there."
"335","CNBC: Biden's $1.9 trillion Covid relief plan calls for stimulus checks, unemployment support and more.… https://t.co/gUQ9dx4ohD"
"336","@DrMuradPTI You should lock the education dept. Shame on you. Destroy the future of students and could not make a c… https://t.co/Dy3NdJe8vA"
"337","A year into the pandemic, a big, simple difference between China and the West is clear: on average Chinese people a… https://t.co/LRqKAUTBij"
"338","lack of taste buds is a symptom of covid https://t.co/5qFiauatmL"
"339","Until I know my appointment date/time for my covid test, I’m staying in bed and playing Minecraft and not talking t… https://t.co/hcJbhpnp0z"
"340","I can't believe I have to contend with covid deniers in this day of our lord January 2021."
"341","Shameful! NO Mention #BBC #QuestionTime #PriorityGroups #COVID #vaccination discussion.Those @ Risk… https://t.co/fwfK2FshlP"
"342","@EnzerEnzer Kid had an aches and pains one that knocked him for a week just before Christmas.  His co-worker who al… https://t.co/qVnSCUn0xU"
"343","@alwaysGetReal @USTechWorkers Don't worry. This would mean the jobs would get offshore and no tax revenue for US fr… https://t.co/LxGTzhUEzo"
"344","Back to reality &amp; I have SO many things to do <U+0001F62F><U+0001F62F><U+0001F644> starting with yet another Covid test for precaution"
"345","Covid 19 needs $1.9 trillion... again this is how they mock you... https://t.co/I4DDtSJbp6"
"346","@thebigguy86 @CP24 One being in the Covid board too. Extremely frustrating!!!"
"347","Wondering what the #bamlanivimab buzz is all about? The @US_FDA recently authorized this new drug treatment for eme… https://t.co/y7hsIRkqiq"
"348","@scotsunsport Player health &amp; well being was clearly the last thought on your thick corrupt brain. If one single Hi… https://t.co/D4OS3ZZBIl"
"349","@freckle_red @SocialistMMA @peterdaou Covid predominately kills old people. 
Most of the deaths are in long term ca… https://t.co/gRJHpw8v13"
"350","COVID-COPS MESS WITH THE WRONG WOMAN https://t.co/AHv3kotfdf via @YouTube"
"351","Seriously LOL!!! Cuz its her job to make covid positive people stay home? No that is between them and their doctors… https://t.co/X1jOtcq83u"
"352","Checked in for @GreyhoundScores and @Warhawk_Hoops in an OCC-Ohio contest @Athletics_WCHS. The Greyhounds, who have… https://t.co/H2VGELOMA5"
"353","@jamie_elizabeth Anyone know if you can attend DSA meetings from home? I mean, in the era of covid they must be doi… https://t.co/wE8PJ5RWml"
"354","I’m tryna see sumn: 
are you planning on getting the COVID vaccine?"
"355","@KFJ_FP   For The Record - As COVID-19 cases and deaths continue to climb in the U.S., the PANDEMIC OF MISINFORMATI… https://t.co/KDrV6ilj6h"
"356","My best friend of 41+ years, since college hockey (he was a damn good goalie) just died of COVID-19. I hate this fu… https://t.co/CmwLMigEJH"
"357","Covid-19: Brazil hospitals 'run out of oxygen' for virus patients https://t.co/nvlZGekC5i #SmartNews"
"358","Coworker came in Monday &amp; Tuesday sounding like death &amp; coughing. After pleas from others in the office he was fina… https://t.co/g2VZPqYRSc"
"359","Documentary on One-Year Anniversary of #Taiwan's Fight Against COVID-19 https://t.co/13YFDwdhsX"
"360","You can get your COVID test any time between 8:00 am and 5:00 pm in the PAC concourse on Friday, Jan 15."
"361","Sign this petition to President-elect Biden asking him to issue an executive order banning evictions and utility sh… https://t.co/lemuzGBfKU"
"362","@ferventllc And Covid ignorance <U+270A><U+0001F3FE>"
"363","Thread: Brazil is ranked number two in the world lists of Covid fatalities, behind the USA. But that is almost cert… https://t.co/axzl6BBOPG"
"364","You know what I miss ? Centro before covid<U+0001F61E>"
"365","@devon_spier Currently, her role as Sylvia Llewelyn Davies in Finding Neverland. I am very much Covid Compromised,… https://t.co/52JtE27d3B"
"366","@sabrinaffig Covid"
"367","Some of these ppl that work in these  fast food restaurants won’t get paid for being out with covid... smfh.. that’s stupid af"
"368","RSA Conference 2021 Goes All Virtual Due To COVID-19 https://t.co/YJeULEpa8R"
"369","Covid isn’t a hoax, people are dying, shut up Kyle"
"370","Do u know how strong u gotta be to be study, taking exams online, support your grandparents (1 w/ c bomb, 1 very un… https://t.co/kgIhdNov5Z"
"371","@BaddCompani From your lips to God's ear.  If all victims of Fox's intentionally false COVID coverage sue, they will go out of business."
"372","@PatrickSvitek Governor Abbott: ""The COVID vaccine, but for guns"""
"373","@revjamesrobison Prayers please I have been sick all year with pneumonia covid 19."
"374","Rep. Adriano Espaillat diagnosed with COVID-19 after getting vaccine https://t.co/1dk76vf5ND via @nypmetro"
"375","NASA Keeps the STEM Lessons Going From Home | ISTE https://t.co/GmTVTItNEd"
"376","#cspcontest26

I thought one of the best smiles is when we thanked. In a Pandemic called Covid-19, I drew the woman… https://t.co/1iNyfFPlM5"
"377","@odowdpeter Yikes!  I just moved to UT from the Bay Area and the lack of masks is astonishing.  I’m wondering if pe… https://t.co/rOHXt4uJ3e"
"378","@LinzDeFranco The ratio isn't nearly strong enough for this Tweet, but I'm here to do my part! 
How about instead o… https://t.co/Ytewfytlgn"
"379","Avg 3,000 deaths Covid per day. Once we have herd immunity, we’ll everyone gets job back right? Back to gym, back t… https://t.co/0wjadxABAN"
"380","@ReeceShearsmith COVID-Twelvety?"
"381","Due to COVID-19 protocols, South Carolina head coach Frank Martin will not be in attendance for #LSU's matchup Satu… https://t.co/4MIzOdUl0r"
"382","Took me 2 months to gain 8.5lbs ... that is record breaking cause normally it would’ve taken me 8 years . So ...idk… https://t.co/xZa97gxhwD"
"383","@NewDayForNJ Thousands of unnecessary deaths all for the purpose of perpetuating the Covid hysteria through Election Day."
"384","Clayton State indoor track and field season canceled over COVID-19 concerns https://t.co/ayhi2ytyra https://t.co/wFGeIgbnvv"
"385","@Manxman2602 @FraserMyers Really? What happened to 4k deaths/day, what happened to the 2nd wave? What happened to q… https://t.co/yAqOqsaQUy"
"386","@FPWellman @donwinslow that's called the Covid (17)76"
"387","Anti-Vaccine Doctor Joined Attack on Capitol https://t.co/U4SiQXYXBF"
"388","The Maddening Red Tape Facing Older People Who Want the Vaccine in New York. It's utterly impossible.  - https://t.co/dwL0duUnEU"
"389","@sarahlogan76 @uclh @MarcelLevi  @Largeturnip &gt; incredibly relevant right now. We mustn’t forget that those IN hosp… https://t.co/UPFnyO1Xec"
"390","@TribLIVE Another case of NOT following science or statistics in handling this pandemic. Most of the lives lost are… https://t.co/VWM4abGAOw"
"391","@Freewheeler12 @ClaireByrneLive Covid Claire<U+0001F631><U+0001F631><U+0001F631>"
"392","<U+2066>@johnrich<U+2069> took my 2 Covid shots tonight https://t.co/FYoVXbI3lE"
"393","@AndersJonita @Kavvasakiman @CarlDevitt it says ""if covid is included on the death certificate"" can u not read?"
"394","@megwagner   For The Record - As COVID-19 cases and deaths continue to climb in the U.S., the PANDEMIC OF MISINFORM… https://t.co/2sfREY6rqL"
"395","@CMOH_Alberta You said there’s unused vaccine appointments for healthcare workers. I work on a covid unit and have… https://t.co/zgtCWMxNrA"
"396","33 year old fitness influencer Dmitriy died from COVID-19. He thought that Covid did not exist...then he got sick.… https://t.co/m0OFIIeLtQ"
"397","Coronavirus updates: Biden to give speech on pandemic as daily death toll again exceeds 4,000 https://t.co/u4ZjfFCEss"
"398","i don’t wanna get covid tho so it’s a no from me https://t.co/9uXoO4cVRr"
"399","@esseeeayeenn Correct. We’ve got them getting things back to zero several times and maintaining restrictions and ot… https://t.co/4Pu38HsZiK"
"400","if i don't get an ""achievement unlocked: didn't get covid-19"" once this pandemic is over, i'm calling xbox"
"401","2 COVID Vaccine Stocks That Could Trounce Pfizer and Moderna in 2021 @themotleyfool #stocks $NVAX $PFE $MRNA $BNTX… https://t.co/eiwaMMbDGc"
"402","Alberta loosening COVID-19 gathering restrictions on Monday https://t.co/x4cgjO1cM7 #COVID19AB https://t.co/LYoTFF7z4N"
"403","Biden has made clear that borrowers need relief, especially during COVID-19. https://t.co/YUcYS1FS3Q"
"404","Good news: The U.S. is doing better than most of its peer countries at getting shots in arms.

Bad news: There are… https://t.co/5u2T08Mdg2"
"405","My neighbor got COVID <U+0001F627> https://t.co/UEZKIFk3Qs"
"406","If you watch the mainstream media they will only tell you about COVID-19 deaths. They won't tell you that as of Jan… https://t.co/bwwf8B0guw"
"407","In an alternative universe,  President Hillary Clinton is being brought into congress to answer for the less than 5… https://t.co/syabRCqOfl"
"408","<U+0001F6A8>OMAFRA has approved the allocation of $3 million in financial support to riding schools, trail and therapeutic rid… https://t.co/U646cmImQY"
"409","@TotenVictus Let me give u more then coloured hair, best at beating covid most GL and BL produce then half of my fa… https://t.co/4vaCvZvix0"
"410","@GeekgirlNZ @HumbleNHandsome @staredux @ManDaveJobGood TREES CAN’T GET COVID OMG LADY WATCH APACOLYPSE NOW LATER"
"411","Politico: Biden’s heralded COVID board has no idea what his plan is either https://t.co/M6JpxmtUrX"
"412","Cz we don’t know what we are saying. Plus most pull this out oh president says this. New thing is why can’t we cure… https://t.co/y4iSXQg8ex"
"413","According to South Carolina, head coach Frank Martin, assistant coach Chuck Martin, and Doug Edwards, who handles s… https://t.co/C1jwca1aIv"
"414","@_beth_jacobs_ @_beth_jacobs_ Information on COVID-19 vaccine eligibility and availability is available on our site: https://t.co/TCOgd3fjVs"
"415","@2021_Karma @TP_UKMingeLane EveryBody gets a Covid Coin from the gift shop!!! https://t.co/VlUV04p25d"
"416","@PlatinisBungs @JuliaHB1 @jackAnd59146658 @NeilDotObrien The problem with that is. People like me that have had cov… https://t.co/9MKEQAM7ys"
"417","@WalshFreedom @margaritateresa DUHsantis needs to bring his sorry azz back to FL and figure out this clusterphuck h… https://t.co/JnUaENNh8P"
"418","@SamKerlesser @wsbgnl Agreed on being inured to mass death

My entire thing is

1. We’ve already had 375k deaths *w… https://t.co/2LsDPun8hu"
"419","@clapifyoulikeme YES but I can finally know peace. I’m lowkey judging every single Texas reporter on the covid beat… https://t.co/nbDOrbdrJj"
"420","@NanaQwezi I’m not....I’m just telling u to chill with attack bcos u knew COVID was out there but u were out jammin… https://t.co/pBs9KnODKB"
"421","Since yesterday, 2 additional children between 10-19 enjoyed their first week in school by going to the hospital wi… https://t.co/zJYysR1lgL"
"422","@publicroad Most pro life president ever but let 370,000 people die from COVID, 6 as a result of his attempted coup… https://t.co/WWQtP3rdEJ"
"423","and not just because of covid i mean i’ve just become more anxious socially even if i’m with close friends i’ve known for years"
"424","Yes NYC sue for your rights to catch Covid!! 
Eventually nobody will fucking be alive to even come out to eat but g… https://t.co/xkeKH7zjhv"
"425","@henrymcmaster And our percent positive Covid rate is around 25%"
"426","Recovering from Covid gives similar level of protection to vaccine https://t.co/c2fyHgVc0p"
"427","@durbakatha Exactly, but I think this needs to be a change not only for “right now” but for good. One COVID silver… https://t.co/33HKZkVvQ3"
"428","I remember when i shared my experience and y’all said i was paid to say i had Covid <U+0001F97A>... Anyways that’s not importa… https://t.co/XR0yTP87i4"
"429","Plan to discharge Covid patients to care homes in England is 'madness' https://t.co/U8J6dB2GFa"
"430","@RBReich One man too much power.  Mitch stifled America with his personal agenda, which is why Trump not Impeached… https://t.co/YhJRPb5lcJ"
"431","@RasAIGhuI_ Yes Americans have been getting a check from the government due to covid and everyone's making jokes ab… https://t.co/eNWDMEDDuE"
"432","Daily reminder to #MaskUp and wash your hands! #UnitedAgainstFlu

This year's flu season is ""virtually nonexistent""… https://t.co/Gr97NfjANT"
"433","POGP course update: https://t.co/xmRtH7SIJb #covid #education #zoom https://t.co/tDQAGCcw21"
"434","<U+262D>

The Plan?

Keep on dropping $1,400± to Americans ostensibly for CoViD relief as a ""back door"" to establishing… https://t.co/JUYcMrvR0y"
"435","@AlexisDawn92 he really is!! i haven’t been able to meet him yet bc of covid restrictions but i can’t wait until i do."
"436","@gwenpool_ebooks This was tricky, but I have to go with Disney, because of all the people that went “WAAAAH I CANT… https://t.co/5ZMKrf9C1R"
"437","@covid_max Same tbh"
"438","I have been trying since well before Christmas to get help with a warranty issue. LG DONT CARE! Blame it on covid t… https://t.co/dP2UF6hOmf"
"439","Nobody will want to hear this new warning from Dr. Fauci https://t.co/nolv9Gdmir #SmartNews"
"440","Alberta loosening COVID-19 gathering restrictions on Monday https://t.co/FJHAOMnSJr #COVID19AB https://t.co/ZjL7NH7i2L"
"441","@bcoughlin23 @ThrobertBedford @brandonsblog @PandaSalesman @gbellseattle I'm extremely cautious regarding Covid and… https://t.co/202s50KpLo"
"442","China and covid.... The last dragon."
"443","it wont be for a while bc i am currently not working bc of covid and dont have much money but. eventually"
"444","@AltitudeChaz @GreyHaired07 Recall the hatred and bile of the left when Trump got Covid ! The outpouring of hatred… https://t.co/EvglZJVDRk"
"445","I'm more concerned we Iowans have NO idea how many doses of COVID-19 vaccine #Iowa has actually received. <U+0001F914>

We als… https://t.co/alGsd2ySH0"
"446","Good. Jack needs to get rid of all the violent insurrectionary and Covid disinformation peddlers. https://t.co/M6B4qUqfFT"
"447","“Hey Grandad, what did you do during the COVID-19 pandemic?” 

“I did what I could, but it was tough. One night I s… https://t.co/FAvqmIL1F6"
"448","Biden lays out $1.9 trillion Covid relief package with $1,400 stimulus checks https://t.co/mKGrUETSvH via @nbcnews"
"449","@IamIamman @Reasonableques3 @EssexPR Your talking in riddles here, and then you’ve rubbished your entire point by m… https://t.co/4uHMT4JH0V"
"450","@boisemayor @laurenmclean Mayor Mclean I wanted to thank you for all your efforts for Covid containment and most re… https://t.co/vJC48B6XOd"
"451","How is covid circulating if everything is shut down? This is one reason So many employers doing minimal and half-he… https://t.co/tQbs8Cu0sk"
"452","@obrienc2   For The Record - As COVID-19 cases and deaths continue to climb in the U.S., the PANDEMIC OF MISINFORMA… https://t.co/mFxDlKXOJL"
"453","Biden To Unveil $1.9 Trillion COVID-19 Relief Plan, Including $1,400 Stimulus Checks https://t.co/SOCmQ4bhSP"
"454","@GovPhilScott Governor Scott, I  have a question that concern me and others like me. I am 64 and 5 months old with… https://t.co/23u4TJEzsC"
"455","https://t.co/zhlIzP9aLx Grey Bruce health unit reports 61 active COVID-19 cases https://www.canadiantribun...
https://t.co/x6QOjQUPcs"
"456","Ian anytime someone posts a pic with their COVID vaccine https://t.co/fFSnkm3BVX"
"457","New Connect Care Bytes Blog posting:  COVID-19 and Connect Care - Accessing Public Health Act Forms  (https://t.co/1Bk2egIyak)"
"458","The news that Los Angeles county lost a person from covid every six minutes would be almost one third of the nation… https://t.co/hbNk3SmqDJ"
"459","@st4rrytae Me too, and we are seeing as many concerts possible. COVID is not invited she’s so clingy <U+0001F614>"
"460","Visa: COVID-19 payment habits may be here to stay https://t.co/tG1flwH8nL"
"461","@IAmBWilson1 Covid"
"462","@GovLarryHogan Governor, what are your thoughts on this Frederick Sheriff proudly proclaiming he's *not* following… https://t.co/655lk3pWGy"
"463","Hospitalised patients with COVID-19 have compromised gut microbiomes, study finds @sciencefocus

 https://t.co/mDJFUD9CuO"
"464","@TwitterMoments Someone needs to take that gavel away from Nancy! She would have never been re-elected as speaker b… https://t.co/f8E6fsZUgl"
"465","@superstrpunani i saw that article earlier this week i think it was 1 in 5 people who get tested have covid. regardless thats still crazy"
"466","@Terumi_Hanabi If you have seen any therapists or counselors pre 2020 / covid check in with them. It's possible tha… https://t.co/RTpwViEDmL"
"467","1/3rd of LA county had covid???"
"468","@JoJoFromJerz @atrupar Well at least they came around to reality. That’s so good, It’s not about politics anymore,… https://t.co/mAeYD15bwk"
"469","Arrested Clubber Tests Positive To COVID-19 In Police Cell - https://t.co/QOgGpVDBUO https://t.co/XRxE906QjX"
"470","@YoniFreedhoff At this point should we be looking for a vaccine for Covid or for political pandering? Seems Covid i… https://t.co/ewgc0a2HdX"
"471","@braelyy Yeah, the pandemic numbers make feel weird. Like are we averaging close to 4,000 deaths daily from covid-1… https://t.co/nnHBxtnNgR"
"472","Learn how the 'open-access' nature of #LexaGene's #MiQLab system is designed to be rapidly configured to detect new… https://t.co/4D4Ncp2CaH"
"473","I think if India manage to win or retain the Gavaskar/Border trophy this series it should be celebrated more than t… https://t.co/0k33WMy3zI"
"474","@4TruthMack Communism cures covid you didn’t know?"
"475","@NPR Let’s absolutely turn to the science to protect ourselves from this train of #COVID in the U.S. My dearest sym… https://t.co/hjpRds6btx"
"476","@ABC Between purposely ignoring COVID and fomenting sedition, it's probably best to avoid Republicans for your own safety."
"477","Total daily cases of Covid-19 in Scotland as of 14 January 2021 - data compiled by @stellamazeri @Mark_Bronsvoort… https://t.co/7kzPISkdBW"
"478","Florida’s gas price rose to $2.30 a gallon, up 17 cents from a month ago. https://t.co/wnIYuaWA2M"
"479","@nandutendolkar @AusPublicHealth Allotments for this shipment of COVID-19 vaccine to APH has been filled. We encour… https://t.co/n6j3YfUs4L"
"480","@AdamRutherford @chrischirp @NafeezAhmed Au contraire.  He's deleting all his old covid nonsense right now.  And st… https://t.co/iA7edj6usB"
"481","Covid is about 20,000 deaths away from surpassing World War 2’s casualties. And we’ll hit that next week at the rat… https://t.co/qSVUSGqiqa"
"482","Takeaway: avoid going into stores as much as possible (<U+2705>) and buy better masks (todo).

I know some of y'all still… https://t.co/IKOV1WLFnN"
"483","@KeepinItRollin @GrindFaceTV because all it takes is ONE person to pass along covid. wear your damn mask. you have… https://t.co/r3op7y41tj"
"484","Mind charity urge the government to act, invest in community services and provide Covid safe face-to-face mental he… https://t.co/6tMk2oOXq0"
"485","the fact that my school wont let me have a teacher do I can learn if I want to stay doing online school is baffling… https://t.co/r5j9TqWNak"
"486","""You know that covid stuff is bullshit right?"" - Old kook in Crocodile Dundee inspired leather hat, vest and socks… https://t.co/WfKb4MQObw"
"487","@EricaZeli Thanks! “FL man recovers from Covid...”"
"488","@HeyDaveCole @mgsiegler @TheEastVillager Latest NY Times newsletter brings up a lot of great points that has nothin… https://t.co/Pds6nWP72p"
"489","@Glentoran @OfficialNIFL @OfficialIrishFA Instead of Covid-19 tests why don't they bring the Covid-19 vaccine, vacc… https://t.co/RMawWl9b8O"
"490","Pssst... Does anyone out here want a quick covid jab? https://t.co/w1TJyl1BHH"
